date,wordcount
01/08/18,15182
01/09/18,15182
01/18/18,15182
01/22/18,15182
01/22/18,15182
01/24/18,15182
01/24/18,15182
01/29/18,15182
01/31/18,15182
02/01/18,15182
02/05/18,15182
02/06/18,15182
02/07/18,15182
02/12/18,15182
02/14/18,15182
02/15/18,15182
02/16/18,15182
02/21/18,15182
02/22/18,15182
02/23/18,15182
02/23/18,15182
04/17/18,15182
04/17/18,15182
04/19/18,15182
04/23/18,15182
04/24/18,32897
04/25/18,35639
04/26/18,35986
04/26/18,36956
04/27/18,37212
04/27/18,38593
04/30/18,38623
05/01/18,41066
05/02/18,42560
05/03/18,44600
05/07/18,45590
05/09/18,45837
05/10/18,46800
05/11/18,46800
05/14/18,47199
05/15/18,49141
05/16/18,50761
05/17/18,51891
05/18/18,53061
05/21/18,54973
05/22/18,55890
05/23/18,57062
05/24/18,58906
05/25/18,60221
05/29/18,60221
05/30/18,60987
06/01/18,62071
06/02/18,62071
06/04/18,62071
06/05/18,66077
06/06/18,64951
06/16/18,64951
06/18/18,67795
06/19/18,69113
06/22/18,70727
06/23/18,71693
06/28/18,73222
07/02/18,75032
07/03/18,76753
07/04/18,77927
07/05/18,79922
07/09/18,81912
07/10/18,85408
07/11/18,88910
07/12/18,90506
07/13/18,91601
07/15/18,92626
07/16/18,99807
07/17/18,98102
07/18/18,82697
07/23/18,82748
07/25/18,82748
07/26/18,82570
07/27/18,83690
07/30/18,85513
07/31/18,87116
08/01/18,87116
08/02/18,87116
08/03/18,87116
08/06/18,90271
08/07/18,90271
08/08/18,90271
08/09/18,90271
08/10/18,90271
08/13/18,90271
08/14/18,92491
08/15/18,94079
08/16/18,94574
08/17/18,94574
08/20/18,94574
08/21/18,96103
08/22/18,97491
08/24/18,99995
08/27/18,101136
08/28/18,102654
08/29/18,103369
08/30/18,106212
08/31/18,107343
09/05/18,108511
09/06/18,108135
09/07/18,110775
10/08/18,113098
10/09/18,114460
10/15/18,115370
10/16/18,116219
10/18/18,117564
11/02/18,119850
11/12/18,120227
11/14/18,121105
11/26/18,121660
11/27/18,122988
11/28/18,125503
11/29/18,126074
11/30/18,126074
12/03/18,127953
12/04/18,129491
12/05/18,129523
12/10/18,130644
12/12/18,131345
12/13/18,134468
12/14/18,135933
12/17/18,137610
12/18/18,139190
12/26/18,139412
12/27/18,139190
12/28/18,139190
01/07/19,140944
01/08/19,142799
01/27/19,150167
01/28/19,150167
01/29/19,150167
01/30/19,146941
01/31/19,144411
02/01/19,143174
02/02/19,143174
02/03/19,143174
02/04/19,143174
02/05/19,136508
02/06/19,134662
02/07/19,134662
02/11/19,136267
02/12/19,138247
02/13/19,140343
02/14/19,138235
02/15/19,138235
02/16/19,135683
02/18/19,135247
02/19/19,127929
02/20/19,127368
02/21/19,122031
02/22/19,124752
02/23/19,127507
02/24/19,134626
